name,address,year_installed,artist,landmark_designation_date,latitude,longitude,zip_code,type,description_of_artwork
Carl Schurz High School,3601 N Milwaukee Av,60641,Dwight H. Perkins,12/7/1979,41.9472703,-87.73563931,60641,Landmark,
Gage Group,"18,24, and 30 S Michigan Av",60604,"Louis H. Sullivan (18),Holabird & Roche (25 & 30)",9/11/1996,41.88132379,-87.62498015,60604,Landmark,
Jewish People's Institute,3500 W Douglas Blvd,60623,Klaber & Grunfeld,6/28/2000,41.86325563,-87.71337292,60623,Landmark,
(Former) Fullerton State Bank Bldg,1425 W Fullerton Av,60614,,7/9/2008,41.92494553,-87.66435202,60614,Landmark,
McGraw-Hill Building,520 N Michigan Av,60611,Thielbar & Fugard,2/7/1997,41.89141092,-87.62489269,60611,Landmark,
Site of the Sauganash Hotel/Wigwam,"Lake St & Wacker Dr, Chicago, IL",60606,,11/6/2002,41.8853654,-87.63647275,60606,Landmark,
Samuel M. Nickerson House,40 E Erie St,60611,Burling & Whitehouse,9/28/1977,41.89435058,-87.62653379,60611,Landmark,
Third Unitarian Church Building,301 N Mayfield Av,60644,"Paul Schweikher, addit in 1956:William Fyfe",2/6/2008,41.88587724,-87.77151773,60644,Landmark,
"Garfield Boulevard '"L'" Station and Overpass",319 E Garfield Blvd,60637,Myron Church,12/12/2001,41.79373533,-87.61830365,60637,Landmark,
(Former) Schlitz BreweryTied-House@958W.69th St.,958 W. 69th St.,60621,Unknown,7/6/2011,41.76900629,-87.64920136,60621,Landmark,
Leiter II Building,403 S State St,60505,William LeBaron Jenney,1/14/1997,41.87633704,-87.62718672,60505,Landmark,
Chapin and Gore Building,63 E Adams,60604,Richard E. Schmidt and Hugh M.G. Garden,1/21/1982,41.87932732,-87.62561478,60604,Landmark,
Carson Pirie Scott & Company Building,1 S State St,60603,"Louis H. Sullivan, 1905-6:D.H. Burnham&Co.",11/5/1970,41.88140588,-87.62698011,60603,Landmark,
Albert F. Madlener House,4 W Burton Pl,60610,Richard E. Schmidt & Hugh M.G. Garden,3/22/1973,41.909648600000004,-87.62922179,60610,Landmark,
Chicago & Western Indiana  Railroad Bridge,"Calumet River, 126th St, W of Torrence Av",60617,James Peterson,12/12/2007,41.66934061,-87.55896435,60617,Landmark,
Belle Shore Apartment Hotel,1062 W Bryn Mawr Av,60660,Nathaniel Koenigsberg & Leon Weisfeld,11/6/2002,41.98385069,-87.65762447,60660,Landmark,
Site of the Origin of the Chicago Fire of 1871,"Dekoven & Jefferson St, Chicago, IL",60607,"comm sculpture,'"Pillar of Fire'" Egon Weiner 1961",9/15/1971,41.86927206,-87.64199072,60607,Landmark,
Emil Bach House,7415 N Sheridan Road,60626,Frank Lloyd Wright,9/28/1977,42.01658291,-87.6647753,60626,Landmark,
Field Building,135 S LaSalle St,60604,"Graham, Anderson, Probst & White",2/9/1994,41.87976425,-87.63154777,60604,Landmark,
Rookery Building,209 S LaSalle St,60612,Burnham & Root,7/5/1972,41.87907613,-87.63179743,60612,Landmark,
Pulaski Park Fieldhouse,1419 W Blackhawk St,60642,William Carbys Zimmerman,7/29/2003,41.90648537,-87.66328365,60642,Landmark,
"Engine Company 45, Truck 15",4600 S Cottage Grove Av,60653,Argyle E. Robinson,10/1/2003,41.81118499,-87.60700240000001,60653,Landmark,
London Guarantee Building,360 N Michigan Av,60601,Alfred S. Alschuler,4/16/1996,41.88795571,-87.62505786,60601,Landmark,
McGill House,4938 S Drexel Blvd,60615,Henry Ives Cobb,4/26/2006,41.80486126,-87.60479119,60615,Landmark,
Ludington Building,1104 S Wabash Av,60605,William LeBaron Jenney,6/10/1996,41.86900585,-87.62635497,60605,Landmark,
(Former) Schlitz BreweryTied-House@3456SWestern,3456 S. Western Ave.,60608,Kley & Lang,7/6/2011,41.83042248,-87.68544494,60608,Landmark,
Second Presbyterian Church,1928-1936 S Michigan Av,60616,James Renwick Recon:1900;Howard Van Doren Shaw,9/28/1977,41.85572488,-87.62435931,60616,Landmark,
(Former) Schlitz Brewery-Tied House,"5120 N. Broadway, Chicago, IL",60640,Charles Thisslew,5/4/2011,41.97522511,-87.66025837,60640,Landmark,
Lorado Taft's Midway Studios,6016 S Ingleside Dr,60637,"Arch ?, recon:1929;O F Johnson Add:1964;E D Dart",12/1/1993,41.78552641,-87.6032052,60637,Landmark,
(Former) Sheridan Trust and Savings Bank Building,4753 N Broadway,60640,"Marshall & Fox, Huszagh & Hill",10/8/2008,41.96862254,-87.65913012,60640,Landmark,
"Pennsylvania '"Eight Track'" Bridge","San & Ship Canal, S of 31st & W of Western Av",60608,,12/12/2007,41.83707881,-87.68759544,60608,Landmark,
Uptown Theater,4816 N Broadway,60640,Rapp & Rapp,10/2/1991,41.96952571,-87.66019567,60640,Landmark,
"Eighth Church of Christ, Scientist",4359 S Michigan Av,60653,Leon E. Stanhope,6/9/1993,41.81498777,-87.62250788,60653,Landmark,
Chicago Harbor Lighthouse,"S End of the North Breakwater,N side of Harbor Ent",60611,Unknown,4/9/2003,41.88927337,-87.59040947,60611,Landmark,
Chess Records Office and Studio,2120 S Michigan Av,60616,Horatio Wilson,5/16/1990,41.85360644,-87.6242199,60616,Landmark,
Isidore H. Heller House,5132 S Woodlawn Av,60615,Frank Lloyd Wright,9/15/1971,41.80140832,-87.59711170000001,60615,Landmark,
St Ignatius College Prep Building,1076 W Roosevelt Rd,60608,Toussaint Menard west add:1874;John P. Huber,3/18/1987,41.86741856,-87.65412204,60608,Landmark,
Gauler Twin House,5921 N Magnolia Av,60660,Walter Burley Griffin,6/28/2000,41.98970697,-87.66119344,60660,Landmark,
Museum of Science and Industry,57th St and Lake Shore Dr,60637,Charles B. Atwood,11/1/1995,41.79054723,-87.58287466,60637,Landmark,
Stephen A. Douglas Memorial,35th St and Cottage Grove Av,60653,Leonard W. Volk,9/28/1977,41.83162805,-87.60840332,60653,Landmark,
Site of the 1st Self-Sustain Cont. Nuclear Chain,East Side of S Ellis Ave between 56th & 57th St,60637,"Commern. sculpture,'"Nuclear Energy'" Henry Moore",10/27/1971,41.79216212,-87.6008699,60637,Landmark,
Fisher Building,343 S Dearborn St,60604,D.H. Burnham & Co. 1907:side add. Peter Weber,6/7/1978,41.87719864,-87.62899138,60604,Landmark,
