name,address,install_date,designation_date,artist,latitude,longitude,zip_code,type,description_of_artwork
Vassar Swiss Underwear Company Building,2543 - 2545 W Diversey Av,,2008,Unknown,41.93162661,-87.6921001,60647,Landmark,None
Mathilde Eliel House,4122 S Ellis Av,1886,1991,Adler & Sullivan,41.81925575,-87.602788,60653,Landmark,None
Manhattan Building,431 S Dearborn St,1891,1978,William LeBaron Jenney,41.87606572,-87.62896445,60605,Landmark,None
Machinery Hall at Illinois Institute of Technology,100 W 33rd St; Chicago; IL,1901,2004,Patton; Fisher & Miller,41.83516141,-87.62922122,60616,Landmark,None
Melissa Ann Elam House,4726 S Dr Martin Luther King Jr Dr,1903,1979,Henry L. Newhouse,41.80852977,-87.61720439,60615,Landmark,None
(Former) Pioneer Trust and Savings Bank Building,4000 W. North Ave.,1924,2012,Karl M. Vitzthum,41.91019211,-87.72661734,60639,Landmark,None
DuPont-Whitehouse House,3558 S Artesian Av,1876,1996,Oscar Cobb & Co.,41.82858165,-87.68659368,60632,Landmark,None
Montgomery Ward & Co. Catalog House,618 W Chicago Av,1907,2000,Richard E. Schmidt; Garden and Martin,41.89743687,-87.64369542,60654,Landmark,None
Vorwaerts Turner Hall,2431 W. Roosevelt Rd,,2009,Unknown,41.86615181,-87.68724694,60608,Landmark,None
City Hall-County Building,121 N LaSalle St / 118 N Clark St,1905,1982,Holabird and Roche,41.88384254,-87.63165528,60602,Landmark,None
Illinois and Michigan Canal,S Fork of Chicago River at W Levee & W Fuller Sts,1845,1996,Unknown,41.84265823,-87.66461646,60601,Landmark,None
Lake Shore & Michigan Southern Bridges (pair),Calumet River; N of 98th St & E of Chicago Skyway,,2007,Unknown,41.71968671,-87.54296094,60617,Landmark,None
(Former) Schlitz Brewery Tied-House@11400S.Front,11400 S. Front Ave.,1906,2011,Frommann and Jebsen,41.68712465,-87.61238874,60628,Landmark,None
Haskell-Barker-Atwater Buildings,18-28 S Wabash Av,1875,1996,Wheelock & Thomas and John M. Van Osdel,41.88136175,-87.62665808,60616,Landmark,None
Three Arts Club,1300 N Dearborn St,1914,1981,Holabird and Roche,41.90600702,-87.6304679,60610,Landmark,None
First Baptist Congregational Church,60 N Ashland Av,1869,1982,Gurdon P. Randall,41.8829904,-87.66728153,60612,Landmark,None
Congress Theater,2117-39 N Milwaukee Av / 2117-39 N Rockwell St,1925,2002,Fridstein & Co.,41.92031653,-87.69221314,60647,Landmark,None
Jane Addams' Hull House and Dining Hall,800 S Halsted St,1856,1974,Unknown; Dining Hall 1905: Pond & Pond,41.87150889,-87.64835752,60607,Landmark,None
Palliser's Cottage Home No. 35,2314 W 111th Pl,1882,2000,Palliser; Palliser & Co.,41.69109192,-87.67939883,60643,Landmark,None
