name,address,year_installed,artist,landmark_designation_date,latitude,longitude,zip_code,type,description_of_artwork
Carl Schurz High School,3601 N Milwaukee Av,1910,Dwight H. Perkins,12/7/1979,41.9472703,-87.73563931,60641,Landmark,None
Gage Group,18;24; and 30 S Michigan Av,1899-1900,Louis H. Sullivan (18);Holabird & Roche (25 & 30),9/11/1996,41.88132379,-87.62498015,60604,Landmark,None
Jewish People's Institute,3500 W Douglas Blvd,1927,Klaber & Grunfeld,6/28/2000,41.86325563,-87.71337292,60623,Landmark,None
(Former) Fullerton State Bank Bldg,1425 W Fullerton Av,0,Unknown,7/9/2008,41.92494553,-87.66435202,60614,Landmark,None
McGraw-Hill Building,520 N Michigan Av,1928-29,Thielbar & Fugard,2/7/1997,41.89141092,-87.62489269,60611,Landmark,None
Site of the Sauganash Hotel/Wigwam,Lake St & Wacker Dr; Chicago; IL,1831,Unknown,11/6/2002,41.8853654,-87.63647275,60606,Landmark,None
Samuel M. Nickerson House,40 E Erie St,1883,Burling & Whitehouse,9/28/1977,41.89435058,-87.62653379,60611,Landmark,None
Third Unitarian Church Building,301 N Mayfield Av,1936,Paul Schweikher; addit in 1956:William Fyfe,2/6/2008,41.88587724,-87.77151773,60644,Landmark,None
"Garfield Boulevard 'L'"" Station and Overpass""",319 E Garfield Blvd,1892,Myron Church,12/12/2001,41.79373533,-87.61830365,60637,Landmark,None
(Former) Schlitz BreweryTied-House@958W.69th St.,958 W. 69th St.,1898,Unknown,7/6/2011,41.76900629,-87.64920136,60621,Landmark,None
Leiter II Building,403 S State St,1891,William LeBaron Jenney,1/14/1997,41.87633704,-87.62718672,60505,Landmark,None
Chapin and Gore Building,63 E Adams,1904,Richard E. Schmidt and Hugh M.G. Garden,1/21/1982,41.87932732,-87.62561478,60604,Landmark,None
Carson Pirie Scott & Company Building,1 S State St,1898-99,Louis H. Sullivan; 1905-6:D.H. Burnham&Co.,11/5/1970,41.88140588,-87.62698011,60603,Landmark,None
Albert F. Madlener House,4 W Burton Pl,1902,Richard E. Schmidt & Hugh M.G. Garden,3/22/1973,41.9096486,-87.62922179,60610,Landmark,None
Chicago & Western Indiana  Railroad Bridge,Calumet River; 126th St; W of Torrence Av,1967-68,James Peterson,12/12/2007,41.66934061,-87.55896435,60617,Landmark,None
Belle Shore Apartment Hotel,1062 W Bryn Mawr Av,1928-29,Nathaniel Koenigsberg & Leon Weisfeld,11/6/2002,41.98385069,-87.65762447,60660,Landmark,None
Site of the Origin of the Chicago Fire of 1871,Dekoven & Jefferson St; Chicago; IL,1871,"comm sculpture;'Pillar of Fire'"" Egon Weiner 1961""",9/15/1971,41.86927206,-87.64199072,60607,Landmark,None
Emil Bach House,7415 N Sheridan Road,1915,Frank Lloyd Wright,9/28/1977,42.01658291,-87.6647753,60626,Landmark,None
Field Building,135 S LaSalle St,1924-34,Graham; Anderson; Probst & White,2/9/1994,41.87976425,-87.63154777,60604,Landmark,None
Rookery Building,209 S LaSalle St,1885-88,Burnham & Root,7/5/1972,41.87907613,-87.63179743,60612,Landmark,None
Pulaski Park Fieldhouse,1419 W Blackhawk St,1912-14,William Carbys Zimmerman,7/29/2003,41.90648537,-87.66328365,60642,Landmark,None
