LANDMARK NAME,ID,ADDRESS,DATE BUILT,ARCHITECT,LANDMARK DESIGNATION DATE,LATITUDE,LONGITUDE,LOCATION,ZIP CODE,TYPE
,,,,,,,,,,
,,,,,,,,,,
Carl Schurz High School,L-180,3601 N Milwaukee Av,1910,Dwight H. Perkins,12/7/1979,41.9472703,-87.73563931,"(41.9472702951, -87.7356393075)",60641,Landmark
Gage Group,L- 98,"18,24, and 30 S Michigan Av",1899-1900,"Louis H. Sullivan (18),Holabird & Roche (25 & 30)",9/11/1996,41.88132379,-87.62498015,"(41.8813237899, -87.6249801492)",60604,Landmark
Jewish People's Institute,L- 23,3500 W Douglas Blvd,1927,Klaber & Grunfeld,6/28/2000,41.86325563,-87.71337292,"(41.863255626, -87.7133729164)",60623,Landmark
(Former) Fullerton State Bank Bldg,L-262,1425 W Fullerton Av,,,7/9/2008,41.92494553,-87.66435202,"(41.9249455279, -87.6643520227)",60614,Landmark
McGraw-Hill Building,L-144,520 N Michigan Av,1928-29,Thielbar & Fugard,2/7/1997,41.89141092,-87.62489269,"(41.891410922, -87.6248926856)",60611,Landmark
Site of the Sauganash Hotel/Wigwam,L-188,"Lake St & Wacker Dr, Chicago, IL",1831,,11/6/2002,41.8853654,-87.63647275,"(41.8853653984, -87.6364727484)",60606,Landmark
Samuel M. Nickerson House,L-152,40 E Erie St,1883,Burling & Whitehouse,9/28/1977,41.89435058,-87.62653379,"(41.8943505796, -87.6265337873)",60611,Landmark
Third Unitarian Church Building,L-259,301 N Mayfield Av,1936,"Paul Schweikher, addit in 1956:William Fyfe",2/6/2008,41.88587724,-87.77151773,"(41.8858772448, -87.7715177336)",60644,Landmark
"Garfield Boulevard ""L"" Station and Overpass",L- 99,319 E Garfield Blvd,1892,Myron Church,12/12/2001,41.79373533,-87.61830365,"(41.7937353344, -87.6183036472)",60637,Landmark
(Former) Schlitz BreweryTied-House@958W.69th St.,L-304,958 W. 69th St.,1898,Unknown,7/6/2011,41.76900629,-87.64920136,"(41.769006287, -87.6492013632)",60621,Landmark
Leiter II Building,L- 25,403 S State St,1891,William LeBaron Jenney,1/14/1997,41.87633704,-87.62718672,"(41.8763370403, -87.6271867248)",60505,Landmark
Chapin and Gore Building,L- 64,63 E Adams,1904,Richard E. Schmidt and Hugh M.G. Garden,1/21/1982,41.87932732,-87.62561478,"(41.8793273197, -87.6256147818)",60604,Landmark
Carson Pirie Scott & Company Building,L- 63,1 S State St,1898-99,"Louis H. Sullivan, 1905-6:D.H. Burnham&Co.",11/5/1970,41.88140588,-87.62698011,"(41.8814058757, -87.6269801114)",60603,Landmark
Albert F. Madlener House,L-136,4 W Burton Pl,1902,Richard E. Schmidt & Hugh M.G. Garden,3/22/1973,41.9096486,-87.62922179,"(41.9096485971, -87.6292217949)",60610,Landmark
Chicago & Western Indiana  Railroad Bridge,L-243,"Calumet River, 126th St, W of Torrence Av",1967-68,James Peterson,12/12/2007,41.66934061,-87.55896435,"(41.6693406136, -87.558964347)",60617,Landmark
