,artist,name,year_installed,address,zip_code,latitude,longitude,type,landmark_designation_date,description_of_artwork
0,,Vassar Swiss Underwear Company Building,0,2543 - 2545 W Diversey Av,60647,41.93162661,-87.69210009999999,Landmark,7/30/2008,
1,Adler & Sullivan,Mathilde Eliel House,1886,4122 S Ellis Av,60653,41.81925575,-87.602788,Landmark,10/2/1991,
2,William LeBaron Jenney,Manhattan Building,1891,431 S Dearborn St,60605,41.87606572,-87.62896445,Landmark,7/7/1978,
3,"Patton, Fisher & Miller",Machinery Hall at Illinois Institute of Technology,1901,"100 W 33rd St, Chicago, IL",60616,41.83516141,-87.62922122,Landmark,5/26/2004,
4,Henry L. Newhouse,Melissa Ann Elam House,1903,4726 S Dr Martin Luther King Jr Dr,60615,41.80852977,-87.61720439,Landmark,3/21/1979,
5,Karl M. Vitzthum,(Former) Pioneer Trust and Savings Bank Building,1924,4000 W. North Ave.,60639,41.91019211,-87.72661734,Landmark,6/6/2012,
6,Oscar Cobb & Co.,DuPont-Whitehouse House,1876,3558 S Artesian Av,60632,41.82858165,-87.68659368,Landmark,4/16/1996,
7,"Richard E. Schmidt, Garden and Martin",Montgomery Ward & Co. Catalog House,0,618 W Chicago Av,60654,41.89743687,-87.64369542,Landmark,5/17/2000,
8,,Vorwaerts Turner Hall,0,2431 W. Roosevelt Rd,60608,41.86615181,-87.68724694,Landmark,9/3/2009,
9,Holabird and Roche,City Hall-County Building,0,121 N LaSalle St / 118 N Clark St,60602,41.88384254,-87.63165528,Landmark,1/21/1982,
10,,Illinois and Michigan Canal,0,S Fork of Chicago River at W Levee & W Fuller Sts,60601,41.84265823,-87.66461646,Landmark,5/9/1996,
11,,Lake Shore & Michigan Southern Bridges (pair),0,"Calumet River, N of 98th St & E of Chicago Skyway",60617,41.71968671,-87.54296094,Landmark,12/12/2007,
12,Frommann and Jebsen,(Former) Schlitz Brewery Tied-House@11400S.Front,1906,11400 S. Front Ave.,60628,41.68712465,-87.61238874,Landmark,7/6/2011,
13,Wheelock & Thomas and John M. Van Osdel,Haskell-Barker-Atwater Buildings,0,18-28 S Wabash Av,60616,41.88136175,-87.62665808,Landmark,11/13/1996,
14,,300 West Adams Street Office Building,0,300 W Adams St,60606,41.87972743,-87.63568107,Landmark,,
15,Holabird and Roche,Three Arts Club,1914,1300 N Dearborn St,60610,41.90600702,-87.6304679,Landmark,6/10/1981,
16,Gurdon P. Randall,First Baptist Congregational Church,0,60 N Ashland Av,60612,41.8829904,-87.66728153,Landmark,1/21/1982,
17,Fridstein & Co.,Congress Theater,0,2117-39 N Milwaukee Av / 2117-39 N Rockwell St,60647,41.92031653,-87.69221314,Landmark,7/10/2002,
18,"Unknown, Dining Hall 1905: Pond & Pond",Jane Addams' Hull House and Dining Hall,1856,800 S Halsted St,60607,41.87150889,-87.64835752,Landmark,6/12/1974,
19,"Palliser, Palliser & Co.",Palliser's Cottage Home No. 35,1882,2314 W 111th Pl,60643,41.69109192,-87.67939883,Landmark,2/16/2000,
20,Karl M. Vitzhum & Co.,Steuben Club Building,1929,188 W Randolph St,60601,41.88482916,-87.63360295,Landmark,7/26/2006,
21,James J. Egan,Hotel St. Benedict Flats,0,40-52 E Chicago Av,60611,41.89698041,-87.62644177,Landmark,3/26/1996,
22,John Ernst Ericson. Bridgehse reconst. 1982,Cortland Street Drawbridge,1902,1440 W Cortland St,60642,41.91691727,-87.66431155,Landmark,7/24/1991,
23,Adolph Cudell & Arthur Hercz,August Dewes House,0,509 W Wrightwood Av,60614,41.93027815,-87.64176889,Landmark,3/9/2005,
24,1898 add:Jenney & Mundie 1903 add:Arch Unknown,New York Life Building,0,37-43 S LaSalle St,60603,41.88088658,-87.63174751,Landmark,7/26/2006,
25,"Parfitt Brothers, with Bauer & Hill","Tree Studios, Annexes and Courtyard",1894,601-23 N State St/4-10 E Ohio St/3-7 E Ontario St,60611,41.89287853,-87.62773715,Landmark,2/26/1997,
26,Unknown,Gwendolyn Brooks House,1890,7428 S. Evans Ave,60619,41.75950344,-87.6070012,Landmark,2/10/2010,
27,"Battey & Kipp (1936), A. Epstein (1941-1942)",Spiegel Administration Building,0,1038 W. 35th Street,60609,41.83093188,-87.65200154,Landmark,5/4/2011,
28,Banjamin Albert Comm,Union Park Hotel,1930,1519 West Warren Blvd,60607,41.88212992,-87.66615384,Landmark,6/9/2010,
29,George Kingsley,Reebie Storage Warehouse,0,2325-33 N Clark St,60614,41.92471948,-87.63944577,Landmark,9/1/1999,
30,Various Architects,Essanay Studios,0,1333-35 W Argle St,60640,41.97214865,-87.66333535,Landmark,3/26/1996,
31,South Park Commission Architects,Calumet Park Fieldhouse,0,9801 S Avenue G,60617,41.71773729,-87.53057838,Landmark,10/4/2006,
32,Frank Lloyd Wright,Frederick C. Robie House,1909,5757 S Woodlawn Av,60637,41.78992032,-87.59597028,Landmark,9/15/1971,
33,Holabird & Roche/Holabird & Root,333 North Michigan Building,1928,333 N Michigan Av,60601,41.88780778,-87.62420054,Landmark,2/7/1997,
34,Nimmons & Fellows and George C. Nimmons & Co.,"Sears, Roebuck and Company Administration Building",0,3333 W Arthington St,60624,41.86968209,-87.70963237,Landmark,9/4/2002,
35,,(Former) Marquette Park State Bank Building,0,6314 S Western Av,60629,41.7786654,-87.68401948,Landmark,,
36,Bruce Goff,Myron Bachman House,1948,1244 W Carmen av,60640,41.9748882,-87.66168184,Landmark,12/9/1992,
37,,Pennsylania Bridge,0,"S Branch Chgo River, 19th St, SE of Lumber St",60616,41.85565852,-87.63700354,Landmark,12/12/2007,
38,Henry Ives Cobb,Chicago Varnish Company Building,1895,33 W Kinzie St,60654,41.88899569,-87.62934802,Landmark,7/25/2001,
39,Charles F. Hermann,"(Former) Engine Company 104, Truck 3",1905,1401 S Michigan Av,60605,41.86395764,-87.62361007,Landmark,10/1/2003,
40,Architect Unknown,James A. Sexton School,1882,160 W Wendell St,60610,41.90156831,-87.63384357,Landmark,5/7/1978,
41,Raymond M. Hood and John Mead Howells,Tribune Tower,0,435 N Michigan Av,60611,41.89046022,-87.62326507,Landmark,2/1/1989,
42,,Garfield Park Fieldhouse,1928,100 N. Central park Ave,60624,41.882684000000005,-87.7160686,Landmark,9/3/2009,
43,Henry Hobson Richardson,John J. Glessner House,1886,1800 S Prairie Av,60616,41.85772464,-87.62121066,Landmark,10/14/1970,
44,Frederick & Edward Baumann,McCormick Double House,1875,660 N Rush St,60611,41.89427876,-87.62572114,Landmark,10/6/2005,
45,Unknown,Richard Wright House,1893,4831 S Vincennes Avenue,60615,41.80666963,-87.61349706,Landmark,2/10/2010,
46,William W. Boyington,Rosehill Cemetery Entrance,1864,5800 N Ravenswood Av,60660,41.98659406,-87.67524668,Landmark,10/16/1980,
47,Horatio R. Wilson(Original Building),(Former) Mid-City Trust and Savings Bank Buildings,0,2 S. Halsted Street,60661,41.88148442,-87.64769505,Landmark,4/24/2012,
48,"Graham, Anderson, Probst & White",Union Station,0,210 S Canal St,60606,41.8786699,-87.64035673,Landmark,5/1/2002,
49,Landscape Architect: Alfred Caldwell,Alfred Caldwell Lily Pool,0,North end of Lincoln Park Zoo at Fullerton Parkway,60614,41.92499923,-87.63396225,Landmark,11/6/2002,
50,Joachim G. Giaver & Frederick P. Dinkelberg,35 East Wacker Building,0,35 E Wacker Dr,60601,41.88651836,-87.62678477,Landmark,2/9/1994,
51,"Shepley, Rutan and Coolidge",Chicago Public Library/Cultural Center,1897,78 E Washington St,60602,41.88386466,-87.62499587,Landmark,11/5/1976,
52,Board of Public Works,(Former) Engine Company 86,1899,2414 W Cuyler Av,60618,41.95519144,-87.68922824,Landmark,10/1/2003,
53,Egerton Swartwout,Elks National Memorial Headquarters Building,0,2750 N Lakeview Ave,60614,41.93228562,-87.63989765,Landmark,10/1/2003,
54,Alfred S. Alschuler,Florsheim Shoe Company Building,0,3963 W Belmont Av,60618,41.93861001,-87.7265989,Landmark,3/29/2006,
55,S Pond:Perkins&Hamilton Comfort:Joseph L Silsbee,S. Pond Refectory/Men's & Ladies Comfort Station,0,"2019 N Stockton Dr, Chicago, IL",60614,41.919105200000004,-87.6340101,Landmark,2/5/2003,
56,George C. Nimmons,"Reid, Murdoch and Company Building",1914,"320 N Clark St, Chicago, IL",60654,41.88812724,-87.63183147,Landmark,11/15/1976,
57,Frederick & Edward Baumann,Washington Block,0,40 N Wells St,60606,41.88295583,-87.63407766,Landmark,1/14/1997,
58,,Chicago Orphan Asylum Building,0,"5120 S Dr Martin Luther King, Jr. Dr",60615,41.80134196,-87.6165078,Landmark,,
59,Daniel H. Burham & Charles Atwood,Marshall Field and Company Building,1892,111 N State St,60602,41.8838568,-87.62703774,Landmark,11/1/2005,
60,N1/2: Burham & Root; S1/2: Holabird & Roche,Monadnock Block,0,53 W Jackson Blvd,60604,41.87753145,-87.62954581,Landmark,11/14/1973,
61,Burnham and Root,Sydney A. Kent House,1883,2944 S Michigan Av,60616,41.84067686,-87.62400071,Landmark,3/18/1987,
62,1907 (add.) Board of Public Works,(Former) Engine Company 27,1874,1244 N Wells St,60610,41.90516102,-87.63484794,Landmark,10/1/2003,
63,Huehl & Schmid,Medinah Temple,1912,"600 N Wabash Av, Chicago, IL",60611,41.89288778,-87.62714151,Landmark,6/27/2001,
64,Marshall & Fox,South Shore Cultural Center,0,7059 South Shore Dr,60649,41.76760866,-87.56441514,Landmark,5/26/2004,
65,Holabird & Roche,Old Colony Building,1894,407 S Dearborn St,60605,41.87660759,-87.62897733,Landmark,7/7/1978,
66,"Perkins, Fellows & Hamilton",Lion House - Lincoln Park Zoo,1912,2132 N Stockton Dr,60614,41.92133817,-87.63333598,Landmark,11/30/2005,
67,"Daniel Chester French,sculptor&Henry Bacon,arch",Statue of the Republic,1918,Jackson Park at Hayes & Richards Drs,60649,41.77959613,-87.57988165,Landmark,6/4/2003,
68,Ludwig Mies van der Rohe,Crown Hall,0,3360 S State St,60616,41.83324517,-87.6272852,Landmark,10/1/1997,
